Initial GenePool BestElite's Error Rate: 11.0%

   1-th training, BestElite's ErrorRate: 11.0%
 581-th training, BestElite's ErrorRate: 11.0%
 582-th training, BestElite's ErrorRate: 11.0%
 583-th training, BestElite's ErrorRate: 11.0%
 584-th training, BestElite's ErrorRate: 11.0%
 585-th training, BestElite's ErrorRate: 11.0%
 586-th training, BestElite's ErrorRate: 11.0%
 587-th training, BestElite's ErrorRate: 11.0%
 588-th training, BestElite's ErrorRate: 11.0%
 589-th training, BestElite's ErrorRate: 10.0%
 590-th training, BestElite's ErrorRate: 10.0%
 591-th training, BestElite's ErrorRate: 10.0%
 592-th training, BestElite's ErrorRate: 10.0%
 593-th training, BestElite's ErrorRate: 10.0%
 594-th training, BestElite's ErrorRate: 10.0%
 595-th training, BestElite's ErrorRate: 10.0%
 596-th training, BestElite's ErrorRate: 10.0%
 597-th training, BestElite's ErrorRate: 10.0%
 598-th training, BestElite's ErrorRate: 10.0%
 599-th training, BestElite's ErrorRate: 10.0%
 600-th training, BestElite's ErrorRate: 10.0%
 601-th training, BestElite's ErrorRate: 10.0%
 602-th training, BestElite's ErrorRate: 10.0%
 603-th training, BestElite's ErrorRate: 10.0%
 604-th training, BestElite's ErrorRate: 10.0%
 605-th training, BestElite's ErrorRate: 10.0%
 606-th training, BestElite's ErrorRate: 10.0%
 607-th training, BestElite's ErrorRate: 10.0%
 608-th training, BestElite's ErrorRate: 10.0%
 609-th training, BestElite's ErrorRate: 10.0%
 610-th training, BestElite's ErrorRate: 10.0%
 611-th training, BestElite's ErrorRate: 10.0%
 612-th training, BestElite's ErrorRate: 10.0%
 613-th training, BestElite's ErrorRate: 10.0%
 614-th training, BestElite's ErrorRate: 10.0%
 615-th training, BestElite's ErrorRate: 10.0%
 616-th training, BestElite's ErrorRate: 10.0%
 617-th training, BestElite's ErrorRate: 10.0%
 618-th training, BestElite's ErrorRate: 10.0%
 619-th training, BestElite's ErrorRate: 10.0%
 620-th training, BestElite's ErrorRate: 10.0%
 621-th training, BestElite's ErrorRate: 10.0%
 622-th training, BestElite's ErrorRate: 10.0%
 623-th training, BestElite's ErrorRate: 10.0%
 624-th training, BestElite's ErrorRate: 10.0%
 625-th training, BestElite's ErrorRate: 10.0%
 626-th training, BestElite's ErrorRate: 10.0%
 627-th training, BestElite's ErrorRate: 10.0%
 628-th training, BestElite's ErrorRate: 10.0%
 629-th training, BestElite's ErrorRate: 10.0%
 630-th training, BestElite's ErrorRate: 10.0%
 631-th training, BestElite's ErrorRate: 10.0%
 632-th training, BestElite's ErrorRate: 10.0%
 633-th training, BestElite's ErrorRate: 10.0%
 634-th training, BestElite's ErrorRate: 10.0%
 635-th training, BestElite's ErrorRate: 10.0%
 636-th training, BestElite's ErrorRate: 10.0%
 637-th training, BestElite's ErrorRate: 10.0%
 638-th training, BestElite's ErrorRate: 10.0%
 639-th training, BestElite's ErrorRate: 10.0%
 640-th training, BestElite's ErrorRate: 10.0%
 641-th training, BestElite's ErrorRate: 10.0%
 642-th training, BestElite's ErrorRate: 10.0%
 643-th training, BestElite's ErrorRate: 10.0%
 644-th training, BestElite's ErrorRate: 10.0%
 645-th training, BestElite's ErrorRate: 10.0%
 646-th training, BestElite's ErrorRate: 10.0%
 647-th training, BestElite's ErrorRate: 10.0%
 648-th training, BestElite's ErrorRate: 10.0%
 649-th training, BestElite's ErrorRate: 10.0%
 650-th training, BestElite's ErrorRate: 10.0%
 651-th training, BestElite's ErrorRate: 10.0%
 652-th training, BestElite's ErrorRate: 10.0%
 653-th training, BestElite's ErrorRate: 10.0%
 654-th training, BestElite's ErrorRate: 10.0%
 655-th training, BestElite's ErrorRate: 10.0%
 656-th training, BestElite's ErrorRate: 10.0%
 657-th training, BestElite's ErrorRate: 10.0%
 658-th training, BestElite's ErrorRate: 10.0%
 659-th training, BestElite's ErrorRate: 10.0%
 660-th training, BestElite's ErrorRate: 10.0%
 661-th training, BestElite's ErrorRate: 10.0%
 662-th training, BestElite's ErrorRate: 10.0%
 663-th training, BestElite's ErrorRate: 10.0%
 664-th training, BestElite's ErrorRate: 10.0%
 665-th training, BestElite's ErrorRate: 10.0%
 666-th training, BestElite's ErrorRate: 10.0%
 667-th training, BestElite's ErrorRate: 10.0%
 668-th training, BestElite's ErrorRate: 10.0%
 669-th training, BestElite's ErrorRate: 10.0%
 670-th training, BestElite's ErrorRate: 10.0%
 671-th training, BestElite's ErrorRate: 10.0%
 672-th training, BestElite's ErrorRate: 10.0%
 673-th training, BestElite's ErrorRate: 10.0%
 674-th training, BestElite's ErrorRate: 10.0%
 675-th training, BestElite's ErrorRate: 10.0%
 676-th training, BestElite's ErrorRate: 10.0%
 677-th training, BestElite's ErrorRate: 10.0%
 678-th training, BestElite's ErrorRate: 10.0%
 679-th training, BestElite's ErrorRate: 10.0%
 680-th training, BestElite's ErrorRate: 10.0%
 681-th training, BestElite's ErrorRate: 10.0%
 682-th training, BestElite's ErrorRate: 10.0%
 683-th training, BestElite's ErrorRate: 10.0%
 684-th training, BestElite's ErrorRate: 10.0%
 685-th training, BestElite's ErrorRate: 10.0%
 686-th training, BestElite's ErrorRate: 10.0%
 687-th training, BestElite's ErrorRate: 10.0%
 688-th training, BestElite's ErrorRate: 10.0%
 689-th training, BestElite's ErrorRate: 10.0%
 690-th training, BestElite's ErrorRate: 10.0%
 691-th training, BestElite's ErrorRate: 10.0%
 692-th training, BestElite's ErrorRate: 10.0%
 693-th training, BestElite's ErrorRate: 10.0%
 694-th training, BestElite's ErrorRate: 10.0%
 695-th training, BestElite's ErrorRate: 10.0%
 696-th training, BestElite's ErrorRate: 10.0%
 697-th training, BestElite's ErrorRate: 10.0%
 698-th training, BestElite's ErrorRate: 10.0%
 699-th training, BestElite's ErrorRate: 10.0%
 700-th training, BestElite's ErrorRate: 10.0%
 701-th training, BestElite's ErrorRate: 11.0%
 702-th training, BestElite's ErrorRate: 11.0%
 703-th training, BestElite's ErrorRate: 11.0%
 704-th training, BestElite's ErrorRate: 11.0%
 705-th training, BestElite's ErrorRate: 11.0%
 706-th training, BestElite's ErrorRate: 11.0%
 707-th training, BestElite's ErrorRate: 11.0%
 708-th training, BestElite's ErrorRate: 11.0%
 709-th training, BestElite's ErrorRate: 11.0%
 710-th training, BestElite's ErrorRate: 11.0%
 711-th training, BestElite's ErrorRate: 11.0%
 712-th training, BestElite's ErrorRate: 11.0%
 713-th training, BestElite's ErrorRate: 11.0%
 714-th training, BestElite's ErrorRate: 11.0%
 715-th training, BestElite's ErrorRate: 10.0%
 716-th training, BestElite's ErrorRate: 10.0%
 717-th training, BestElite's ErrorRate: 10.0%
 718-th training, BestElite's ErrorRate: 10.0%
 719-th training, BestElite's ErrorRate: 10.0%
 720-th training, BestElite's ErrorRate: 10.0%
 721-th training, BestElite's ErrorRate: 10.0%
 722-th training, BestElite's ErrorRate: 10.0%
 723-th training, BestElite's ErrorRate: 10.0%
 724-th training, BestElite's ErrorRate: 10.0%
 725-th training, BestElite's ErrorRate: 10.0%
 726-th training, BestElite's ErrorRate: 10.0%
 727-th training, BestElite's ErrorRate: 10.0%
 728-th training, BestElite's ErrorRate: 10.0%
 729-th training, BestElite's ErrorRate: 10.0%
 730-th training, BestElite's ErrorRate: 10.0%
 731-th training, BestElite's ErrorRate: 10.0%
 732-th training, BestElite's ErrorRate: 10.0%
 733-th training, BestElite's ErrorRate: 10.0%
 734-th training, BestElite's ErrorRate: 10.0%
 735-th training, BestElite's ErrorRate: 10.0%
 736-th training, BestElite's ErrorRate: 10.0%
 737-th training, BestElite's ErrorRate: 10.0%
 738-th training, BestElite's ErrorRate: 10.0%
 739-th training, BestElite's ErrorRate: 10.0%
 740-th training, BestElite's ErrorRate: 10.0%
 741-th training, BestElite's ErrorRate: 10.0%
 742-th training, BestElite's ErrorRate: 10.0%
 743-th training, BestElite's ErrorRate: 10.0%
 744-th training, BestElite's ErrorRate: 10.0%
 745-th training, BestElite's ErrorRate: 10.0%
 746-th training, BestElite's ErrorRate: 10.0%
 747-th training, BestElite's ErrorRate: 10.0%
 748-th training, BestElite's ErrorRate: 10.0%
 749-th training, BestElite's ErrorRate: 10.0%
 750-th training, BestElite's ErrorRate: 10.0%
 751-th training, BestElite's ErrorRate: 10.0%
 752-th training, BestElite's ErrorRate: 10.0%
 753-th training, BestElite's ErrorRate: 10.0%
 754-th training, BestElite's ErrorRate: 10.0%
 755-th training, BestElite's ErrorRate: 10.0%
 756-th training, BestElite's ErrorRate: 10.0%
 757-th training, BestElite's ErrorRate: 10.0%
 758-th training, BestElite's ErrorRate: 10.0%
 759-th training, BestElite's ErrorRate: 10.0%
 760-th training, BestElite's ErrorRate: 10.0%
 761-th training, BestElite's ErrorRate: 10.0%
 762-th training, BestElite's ErrorRate: 10.0%
 763-th training, BestElite's ErrorRate: 10.0%
 764-th training, BestElite's ErrorRate: 10.0%
 765-th training, BestElite's ErrorRate: 10.0%
 766-th training, BestElite's ErrorRate: 10.0%
 767-th training, BestElite's ErrorRate: 10.0%
 768-th training, BestElite's ErrorRate: 10.0%
 769-th training, BestElite's ErrorRate: 10.0%
 770-th training, BestElite's ErrorRate: 10.0%
 771-th training, BestElite's ErrorRate: 10.0%
 772-th training, BestElite's ErrorRate: 10.0%
 773-th training, BestElite's ErrorRate: 10.0%
 774-th training, BestElite's ErrorRate: 10.0%
 775-th training, BestElite's ErrorRate: 10.0%
 776-th training, BestElite's ErrorRate: 10.0%
 777-th training, BestElite's ErrorRate: 10.0%
 778-th training, BestElite's ErrorRate: 10.0%
 779-th training, BestElite's ErrorRate: 10.0%
 780-th training, BestElite's ErrorRate: 10.0%
 781-th training, BestElite's ErrorRate: 10.0%
 782-th training, BestElite's ErrorRate: 10.0%
 783-th training, BestElite's ErrorRate: 10.0%
 784-th training, BestElite's ErrorRate: 10.0%
 785-th training, BestElite's ErrorRate: 10.0%
 786-th training, BestElite's ErrorRate: 10.0%
 787-th training, BestElite's ErrorRate: 10.0%
 788-th training, BestElite's ErrorRate: 10.0%
 789-th training, BestElite's ErrorRate: 10.0%
 790-th training, BestElite's ErrorRate: 10.0%
 791-th training, BestElite's ErrorRate: 10.0%
 792-th training, BestElite's ErrorRate: 10.0%
 793-th training, BestElite's ErrorRate: 10.0%
 794-th training, BestElite's ErrorRate: 10.0%
 795-th training, BestElite's ErrorRate: 10.0%
 796-th training, BestElite's ErrorRate: 10.0%
 797-th training, BestElite's ErrorRate: 10.0%
 798-th training, BestElite's ErrorRate: 10.0%
 799-th training, BestElite's ErrorRate: 10.0%
 800-th training, BestElite's ErrorRate: 10.0%
 801-th training, BestElite's ErrorRate: 10.0%
 802-th training, BestElite's ErrorRate: 10.0%
 803-th training, BestElite's ErrorRate: 10.0%
 804-th training, BestElite's ErrorRate: 10.0%
 805-th training, BestElite's ErrorRate: 10.0%
 806-th training, BestElite's ErrorRate: 10.0%
 807-th training, BestElite's ErrorRate: 10.0%
 808-th training, BestElite's ErrorRate: 10.0%
 809-th training, BestElite's ErrorRate: 10.0%
 810-th training, BestElite's ErrorRate: 10.0%
 811-th training, BestElite's ErrorRate: 10.0%
 812-th training, BestElite's ErrorRate: 10.0%
 813-th training, BestElite's ErrorRate: 10.0%
 814-th training, BestElite's ErrorRate: 10.0%
 815-th training, BestElite's ErrorRate: 10.0%
 816-th training, BestElite's ErrorRate: 10.0%
 817-th training, BestElite's ErrorRate: 10.0%
 818-th training, BestElite's ErrorRate: 10.0%
 819-th training, BestElite's ErrorRate: 10.0%
 820-th training, BestElite's ErrorRate: 10.0%
 821-th training, BestElite's ErrorRate: 10.0%
 822-th training, BestElite's ErrorRate: 10.0%
 823-th training, BestElite's ErrorRate: 10.0%
 824-th training, BestElite's ErrorRate: 10.0%
 825-th training, BestElite's ErrorRate: 10.0%
 826-th training, BestElite's ErrorRate: 10.0%
 827-th training, BestElite's ErrorRate: 10.0%
 828-th training, BestElite's ErrorRate: 10.0%
 829-th training, BestElite's ErrorRate: 10.0%
 830-th training, BestElite's ErrorRate: 10.0%
 831-th training, BestElite's ErrorRate: 10.0%
 832-th training, BestElite's ErrorRate: 10.0%
 833-th training, BestElite's ErrorRate: 10.0%
 834-th training, BestElite's ErrorRate: 10.0%
 835-th training, BestElite's ErrorRate: 10.0%
 836-th training, BestElite's ErrorRate: 10.0%
 837-th training, BestElite's ErrorRate: 10.0%
 838-th training, BestElite's ErrorRate: 10.0%
 839-th training, BestElite's ErrorRate: 10.0%
 840-th training, BestElite's ErrorRate: 10.0%
 841-th training, BestElite's ErrorRate: 10.0%
 842-th training, BestElite's ErrorRate: 10.0%
 843-th training, BestElite's ErrorRate: 10.0%
 844-th training, BestElite's ErrorRate: 11.0%
 845-th training, BestElite's ErrorRate: 11.0%
 846-th training, BestElite's ErrorRate: 11.0%
 847-th training, BestElite's ErrorRate: 11.0%
 848-th training, BestElite's ErrorRate: 11.0%
 849-th training, BestElite's ErrorRate: 11.0%
 850-th training, BestElite's ErrorRate: 11.0%
 851-th training, BestElite's ErrorRate: 11.0%
 852-th training, BestElite's ErrorRate: 11.0%
 853-th training, BestElite's ErrorRate: 11.0%
 854-th training, BestElite's ErrorRate: 11.0%
 855-th training, BestElite's ErrorRate: 11.0%
 856-th training, BestElite's ErrorRate: 11.0%
 857-th training, BestElite's ErrorRate: 11.0%
 858-th training, BestElite's ErrorRate: 11.0%
 859-th training, BestElite's ErrorRate: 11.0%
 860-th training, BestElite's ErrorRate: 11.0%
 861-th training, BestElite's ErrorRate: 11.0%
 862-th training, BestElite's ErrorRate: 11.0%
 863-th training, BestElite's ErrorRate: 11.0%
 864-th training, BestElite's ErrorRate: 11.0%
 865-th training, BestElite's ErrorRate: 11.0%
 866-th training, BestElite's ErrorRate: 11.0%
 867-th training, BestElite's ErrorRate: 11.0%
 868-th training, BestElite's ErrorRate: 11.0%
 869-th training, BestElite's ErrorRate: 11.0%
 870-th training, BestElite's ErrorRate: 11.0%
 871-th training, BestElite's ErrorRate: 11.0%
 872-th training, BestElite's ErrorRate: 11.0%
 873-th training, BestElite's ErrorRate: 11.0%
 874-th training, BestElite's ErrorRate: 11.0%
 875-th training, BestElite's ErrorRate: 11.0%
 876-th training, BestElite's ErrorRate: 11.0%
 877-th training, BestElite's ErrorRate: 11.0%
 878-th training, BestElite's ErrorRate: 11.0%
 879-th training, BestElite's ErrorRate: 11.0%
 880-th training, BestElite's ErrorRate: 11.0%
 881-th training, BestElite's ErrorRate: 11.0%
 882-th training, BestElite's ErrorRate: 11.0%
 883-th training, BestElite's ErrorRate: 11.0%
 884-th training, BestElite's ErrorRate: 11.0%
 885-th training, BestElite's ErrorRate: 11.0%
 886-th training, BestElite's ErrorRate: 11.0%
 887-th training, BestElite's ErrorRate: 11.0%
 888-th training, BestElite's ErrorRate: 11.0%
 889-th training, BestElite's ErrorRate: 11.0%
 890-th training, BestElite's ErrorRate: 11.0%
 891-th training, BestElite's ErrorRate: 11.0%
 892-th training, BestElite's ErrorRate: 11.0%
 893-th training, BestElite's ErrorRate: 11.0%
 894-th training, BestElite's ErrorRate: 11.0%
 895-th training, BestElite's ErrorRate: 11.0%
 896-th training, BestElite's ErrorRate: 11.0%
 897-th training, BestElite's ErrorRate: 11.0%
 898-th training, BestElite's ErrorRate: 11.0%
 899-th training, BestElite's ErrorRate: 11.0%
 900-th training, BestElite's ErrorRate: 11.0%
 901-th training, BestElite's ErrorRate: 11.0%
 902-th training, BestElite's ErrorRate: 11.0%
 903-th training, BestElite's ErrorRate: 11.0%
 904-th training, BestElite's ErrorRate: 11.0%
 905-th training, BestElite's ErrorRate: 11.0%
 906-th training, BestElite's ErrorRate: 11.0%
 907-th training, BestElite's ErrorRate: 11.0%
 908-th training, BestElite's ErrorRate: 11.0%
 909-th training, BestElite's ErrorRate: 11.0%
 910-th training, BestElite's ErrorRate: 11.0%
 911-th training, BestElite's ErrorRate: 11.0%
 912-th training, BestElite's ErrorRate: 11.0%
 913-th training, BestElite's ErrorRate: 11.0%
 914-th training, BestElite's ErrorRate: 11.0%
 915-th training, BestElite's ErrorRate: 11.0%
 916-th training, BestElite's ErrorRate: 11.0%
 917-th training, BestElite's ErrorRate: 11.0%
 918-th training, BestElite's ErrorRate: 11.0%
 919-th training, BestElite's ErrorRate: 11.0%
 920-th training, BestElite's ErrorRate: 11.0%
 921-th training, BestElite's ErrorRate: 11.0%
 922-th training, BestElite's ErrorRate: 11.0%
 923-th training, BestElite's ErrorRate: 11.0%
 924-th training, BestElite's ErrorRate: 11.0%
 925-th training, BestElite's ErrorRate: 11.0%
 926-th training, BestElite's ErrorRate: 11.0%
 927-th training, BestElite's ErrorRate: 11.0%
 928-th training, BestElite's ErrorRate: 11.0%
 929-th training, BestElite's ErrorRate: 11.0%
 930-th training, BestElite's ErrorRate: 11.0%
 931-th training, BestElite's ErrorRate: 11.0%
 932-th training, BestElite's ErrorRate: 11.0%
 933-th training, BestElite's ErrorRate: 11.0%
 934-th training, BestElite's ErrorRate: 11.0%
 935-th training, BestElite's ErrorRate: 11.0%
 936-th training, BestElite's ErrorRate: 11.0%
 937-th training, BestElite's ErrorRate: 11.0%
 938-th training, BestElite's ErrorRate: 11.0%
 939-th training, BestElite's ErrorRate: 11.0%
 940-th training, BestElite's ErrorRate: 11.0%
 941-th training, BestElite's ErrorRate: 11.0%
 942-th training, BestElite's ErrorRate: 11.0%
 943-th training, BestElite's ErrorRate: 11.0%
 944-th training, BestElite's ErrorRate: 11.0%
 945-th training, BestElite's ErrorRate: 11.0%
 946-th training, BestElite's ErrorRate: 11.0%
 947-th training, BestElite's ErrorRate: 11.0%
 948-th training, BestElite's ErrorRate: 11.0%
 949-th training, BestElite's ErrorRate: 11.0%
 950-th training, BestElite's ErrorRate: 11.0%
 951-th training, BestElite's ErrorRate: 11.0%
 952-th training, BestElite's ErrorRate: 11.0%
 953-th training, BestElite's ErrorRate: 11.0%
 954-th training, BestElite's ErrorRate: 11.0%
 955-th training, BestElite's ErrorRate: 11.0%
 956-th training, BestElite's ErrorRate: 11.0%
 957-th training, BestElite's ErrorRate: 11.0%
 958-th training, BestElite's ErrorRate: 11.0%
 959-th training, BestElite's ErrorRate: 11.0%
 960-th training, BestElite's ErrorRate: 11.0%
 961-th training, BestElite's ErrorRate: 11.0%
 962-th training, BestElite's ErrorRate: 11.0%
 963-th training, BestElite's ErrorRate: 11.0%
 964-th training, BestElite's ErrorRate: 11.0%
 965-th training, BestElite's ErrorRate: 11.0%
 966-th training, BestElite's ErrorRate: 11.0%
 967-th training, BestElite's ErrorRate: 11.0%
 968-th training, BestElite's ErrorRate: 11.0%
 969-th training, BestElite's ErrorRate: 11.0%
 970-th training, BestElite's ErrorRate: 11.0%
 971-th training, BestElite's ErrorRate: 11.0%
 972-th training, BestElite's ErrorRate: 11.0%
 973-th training, BestElite's ErrorRate: 11.0%
 974-th training, BestElite's ErrorRate: 11.0%
 975-th training, BestElite's ErrorRate: 11.0%
 976-th training, BestElite's ErrorRate: 11.0%
 977-th training, BestElite's ErrorRate: 11.0%
 978-th training, BestElite's ErrorRate: 11.0%
 979-th training, BestElite's ErrorRate: 11.0%
 980-th training, BestElite's ErrorRate: 11.0%
 981-th training, BestElite's ErrorRate: 11.0%
 982-th training, BestElite's ErrorRate: 11.0%
 983-th training, BestElite's ErrorRate: 11.0%
 984-th training, BestElite's ErrorRate: 11.0%
 985-th training, BestElite's ErrorRate: 11.0%
 986-th training, BestElite's ErrorRate: 11.0%
 987-th training, BestElite's ErrorRate: 11.0%
 988-th training, BestElite's ErrorRate: 11.0%
 989-th training, BestElite's ErrorRate: 11.0%
 990-th training, BestElite's ErrorRate: 11.0%
 991-th training, BestElite's ErrorRate: 11.0%
 992-th training, BestElite's ErrorRate: 11.0%
 993-th training, BestElite's ErrorRate: 11.0%
 994-th training, BestElite's ErrorRate: 11.0%
 995-th training, BestElite's ErrorRate: 11.0%
 996-th training, BestElite's ErrorRate: 11.0%
 997-th training, BestElite's ErrorRate: 11.0%
 998-th training, BestElite's ErrorRate: 11.0%
 999-th training, BestElite's ErrorRate: 11.0%
1000-th training, BestElite's ErrorRate: 11.0%
1001-th training, BestElite's ErrorRate: 11.0%
1002-th training, BestElite's ErrorRate: 11.0%
1003-th training, BestElite's ErrorRate: 11.0%
1004-th training, BestElite's ErrorRate: 11.0%
1005-th training, BestElite's ErrorRate: 11.0%
1006-th training, BestElite's ErrorRate: 11.0%
1007-th training, BestElite's ErrorRate: 11.0%
1008-th training, BestElite's ErrorRate: 11.0%
1009-th training, BestElite's ErrorRate: 11.0%
1010-th training, BestElite's ErrorRate: 11.0%
1011-th training, BestElite's ErrorRate: 11.0%
1012-th training, BestElite's ErrorRate: 11.0%
1013-th training, BestElite's ErrorRate: 11.0%
1014-th training, BestElite's ErrorRate: 11.0%
1015-th training, BestElite's ErrorRate: 11.0%
1016-th training, BestElite's ErrorRate: 11.0%
1017-th training, BestElite's ErrorRate: 11.0%
1018-th training, BestElite's ErrorRate: 11.0%
1019-th training, BestElite's ErrorRate: 11.0%
1020-th training, BestElite's ErrorRate: 11.0%
1021-th training, BestElite's ErrorRate: 11.0%
1022-th training, BestElite's ErrorRate: 11.0%
1023-th training, BestElite's ErrorRate: 11.0%
1024-th training, BestElite's ErrorRate: 11.0%
1025-th training, BestElite's ErrorRate: 11.0%
1026-th training, BestElite's ErrorRate: 11.0%
1027-th training, BestElite's ErrorRate: 11.0%
1028-th training, BestElite's ErrorRate: 11.0%
1029-th training, BestElite's ErrorRate: 11.0%
1030-th training, BestElite's ErrorRate: 11.0%
1031-th training, BestElite's ErrorRate: 11.0%
1032-th training, BestElite's ErrorRate: 11.0%
1033-th training, BestElite's ErrorRate: 11.0%
1034-th training, BestElite's ErrorRate: 11.0%
1035-th training, BestElite's ErrorRate: 11.0%
1036-th training, BestElite's ErrorRate: 11.0%
1037-th training, BestElite's ErrorRate: 11.0%
1038-th training, BestElite's ErrorRate: 11.0%
1039-th training, BestElite's ErrorRate: 11.0%
1040-th training, BestElite's ErrorRate: 11.0%
1041-th training, BestElite's ErrorRate: 11.0%
1042-th training, BestElite's ErrorRate: 11.0%
1043-th training, BestElite's ErrorRate: 11.0%
1044-th training, BestElite's ErrorRate: 11.0%
1045-th training, BestElite's ErrorRate: 11.0%
1046-th training, BestElite's ErrorRate: 11.0%
1047-th training, BestElite's ErrorRate: 11.0%
1048-th training, BestElite's ErrorRate: 11.0%
1049-th training, BestElite's ErrorRate: 11.0%
1050-th training, BestElite's ErrorRate: 11.0%
1051-th training, BestElite's ErrorRate: 11.0%
1052-th training, BestElite's ErrorRate: 11.0%
1053-th training, BestElite's ErrorRate: 11.0%
1054-th training, BestElite's ErrorRate: 11.0%
1055-th training, BestElite's ErrorRate: 11.0%
1056-th training, BestElite's ErrorRate: 11.0%
1057-th training, BestElite's ErrorRate: 11.0%
1058-th training, BestElite's ErrorRate: 11.0%
1059-th training, BestElite's ErrorRate: 11.0%
1060-th training, BestElite's ErrorRate: 11.0%
1061-th training, BestElite's ErrorRate: 11.0%
1062-th training, BestElite's ErrorRate: 11.0%
1063-th training, BestElite's ErrorRate: 11.0%
1064-th training, BestElite's ErrorRate: 11.0%
1065-th training, BestElite's ErrorRate: 11.0%
1066-th training, BestElite's ErrorRate: 11.0%
1067-th training, BestElite's ErrorRate: 10.0%
1068-th training, BestElite's ErrorRate: 10.0%
1069-th training, BestElite's ErrorRate: 10.0%
1070-th training, BestElite's ErrorRate: 10.0%
1071-th training, BestElite's ErrorRate: 10.0%
1072-th training, BestElite's ErrorRate: 10.0%
1073-th training, BestElite's ErrorRate: 10.0%
1074-th training, BestElite's ErrorRate: 10.0%
1075-th training, BestElite's ErrorRate: 10.0%
1076-th training, BestElite's ErrorRate: 10.0%
1077-th training, BestElite's ErrorRate: 10.0%
1078-th training, BestElite's ErrorRate: 10.0%
1079-th training, BestElite's ErrorRate: 10.0%
1080-th training, BestElite's ErrorRate: 10.0%
1081-th training, BestElite's ErrorRate: 10.0%
1082-th training, BestElite's ErrorRate: 10.0%
1083-th training, BestElite's ErrorRate: 10.0%
1084-th training, BestElite's ErrorRate: 10.0%
1085-th training, BestElite's ErrorRate: 10.0%
1086-th training, BestElite's ErrorRate: 10.0%
1087-th training, BestElite's ErrorRate: 10.0%
1088-th training, BestElite's ErrorRate: 10.0%
1089-th training, BestElite's ErrorRate: 10.0%
1090-th training, BestElite's ErrorRate: 10.0%
1091-th training, BestElite's ErrorRate: 10.0%
1092-th training, BestElite's ErrorRate: 10.0%
1093-th training, BestElite's ErrorRate: 10.0%
1094-th training, BestElite's ErrorRate: 10.0%
1095-th training, BestElite's ErrorRate: 10.0%
1096-th training, BestElite's ErrorRate: 10.0%
1097-th training, BestElite's ErrorRate: 10.0%
1098-th training, BestElite's ErrorRate: 10.0%
1099-th training, BestElite's ErrorRate: 10.0%
1100-th training, BestElite's ErrorRate: 10.0%
1101-th training, BestElite's ErrorRate: 10.0%
1102-th training, BestElite's ErrorRate: 10.0%
1103-th training, BestElite's ErrorRate: 10.0%
1104-th training, BestElite's ErrorRate: 10.0%
1105-th training, BestElite's ErrorRate: 10.0%
1106-th training, BestElite's ErrorRate: 10.0%
1107-th training, BestElite's ErrorRate: 10.0%
1108-th training, BestElite's ErrorRate: 10.0%
1109-th training, BestElite's ErrorRate: 10.0%
1110-th training, BestElite's ErrorRate: 10.0%
1111-th training, BestElite's ErrorRate: 10.0%
1112-th training, BestElite's ErrorRate: 10.0%
1113-th training, BestElite's ErrorRate: 10.0%
1114-th training, BestElite's ErrorRate: 10.0%
1115-th training, BestElite's ErrorRate: 10.0%
1116-th training, BestElite's ErrorRate: 10.0%
1117-th training, BestElite's ErrorRate: 10.0%
1118-th training, BestElite's ErrorRate: 10.0%
1119-th training, BestElite's ErrorRate: 10.0%
1120-th training, BestElite's ErrorRate: 10.0%
1121-th training, BestElite's ErrorRate: 10.0%
1122-th training, BestElite's ErrorRate: 10.0%
1123-th training, BestElite's ErrorRate: 10.0%
1124-th training, BestElite's ErrorRate: 10.0%
1125-th training, BestElite's ErrorRate: 10.0%
1126-th training, BestElite's ErrorRate: 10.0%
1127-th training, BestElite's ErrorRate: 10.0%
1128-th training, BestElite's ErrorRate: 10.0%
1129-th training, BestElite's ErrorRate: 10.0%
1130-th training, BestElite's ErrorRate: 10.0%
1131-th training, BestElite's ErrorRate: 10.0%
1132-th training, BestElite's ErrorRate: 10.0%
1133-th training, BestElite's ErrorRate: 10.0%
1134-th training, BestElite's ErrorRate: 10.0%
1135-th training, BestElite's ErrorRate: 10.0%
1136-th training, BestElite's ErrorRate: 10.0%
1137-th training, BestElite's ErrorRate: 10.0%
1138-th training, BestElite's ErrorRate: 10.0%
1139-th training, BestElite's ErrorRate: 10.0%
1140-th training, BestElite's ErrorRate: 10.0%
1141-th training, BestElite's ErrorRate: 10.0%
1142-th training, BestElite's ErrorRate: 10.0%
1143-th training, BestElite's ErrorRate: 10.0%
1144-th training, BestElite's ErrorRate: 10.0%
1145-th training, BestElite's ErrorRate: 10.0%
1146-th training, BestElite's ErrorRate: 10.0%
1147-th training, BestElite's ErrorRate: 10.0%
1148-th training, BestElite's ErrorRate: 10.0%
1149-th training, BestElite's ErrorRate: 10.0%
1150-th training, BestElite's ErrorRate: 10.0%
1151-th training, BestElite's ErrorRate: 10.0%
1152-th training, BestElite's ErrorRate: 10.0%
1153-th training, BestElite's ErrorRate: 10.0%
1154-th training, BestElite's ErrorRate: 10.0%
1155-th training, BestElite's ErrorRate: 10.0%
1156-th training, BestElite's ErrorRate: 10.0%
1157-th training, BestElite's ErrorRate: 10.0%
1158-th training, BestElite's ErrorRate: 10.0%
1159-th training, BestElite's ErrorRate: 10.0%
1160-th training, BestElite's ErrorRate: 10.0%
1161-th training, BestElite's ErrorRate: 10.0%
