Initial Perceptron Parameter's Error Rate: 50.0% -> [17.008437309084, 208.88779723500056, -261.07086504651943]

    1-th training, ErrorRate: 50.0% -> [16.008437309084, 140.88779723500056, -278.4708650465194]
 2203-th training, ErrorRate: 22.0% -> [4.008437309084002, 60.38779723500069, -560.4708650465191]
 2204-th training, ErrorRate: 22.0% -> [4.008437309084002, 60.38779723500069, -560.4708650465191]
 2205-th training, ErrorRate: 22.0% -> [4.008437309084002, 60.38779723500069, -560.4708650465191]
 2206-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2207-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2208-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2209-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2210-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2211-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2212-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2213-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2214-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2215-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2216-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2217-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2218-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2219-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2220-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2221-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2222-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2223-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2224-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2225-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2226-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2227-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2228-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2229-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2230-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2231-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2232-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2233-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2234-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2235-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2236-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2237-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2238-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2239-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2240-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2241-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2242-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2243-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2244-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2245-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2246-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2247-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2248-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2249-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2250-th training, ErrorRate: 50.0% -> [3.0084373090840018, -19.712202764999304, -568.9708650465191]
 2251-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2252-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2253-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2254-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2255-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2256-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2257-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2258-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2259-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2260-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2261-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2262-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2263-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2264-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2265-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2266-th training, ErrorRate: 14.0% -> [4.008437309084002, 87.7877972350007, -563.270865046519]
 2267-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2268-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2269-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2270-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2271-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2272-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2273-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2274-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2275-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2276-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2277-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2278-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2279-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2280-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2281-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2282-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2283-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2284-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2285-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2286-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2287-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2288-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2289-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2290-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2291-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2292-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2293-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2294-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2295-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2296-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2297-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2298-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2299-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2300-th training, ErrorRate: 45.0% -> [5.008437309084002, 169.1877972350007, -549.570865046519]
 2301-th training, ErrorRate: 16.0% -> [4.008437309084002, 101.18779723500069, -566.970865046519]
 2302-th training, ErrorRate: 16.0% -> [4.008437309084002, 101.18779723500069, -566.970865046519]
 2303-th training, ErrorRate: 16.0% -> [4.008437309084002, 101.18779723500069, -566.970865046519]
 2304-th training, ErrorRate: 16.0% -> [4.008437309084002, 101.18779723500069, -566.970865046519]
 2305-th training, ErrorRate: 16.0% -> [4.008437309084002, 101.18779723500069, -566.970865046519]
 2306-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2307-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2308-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2309-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2310-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2311-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2312-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2313-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2314-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2315-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2316-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2317-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2318-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2319-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2320-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2321-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2322-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2323-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2324-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2325-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2326-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2327-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2328-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2329-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2330-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2331-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2332-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2333-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2334-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2335-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2336-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2337-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2338-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2339-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2340-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2341-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2342-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2343-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2344-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2345-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2346-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2347-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2348-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2349-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2350-th training, ErrorRate: 43.0% -> [3.0084373090840018, 21.087797235000693, -575.470865046519]
 2351-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2352-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2353-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2354-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2355-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2356-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2357-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2358-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2359-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2360-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2361-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2362-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2363-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2364-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2365-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2366-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2367-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2368-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2369-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2370-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2371-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2372-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2373-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2374-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2375-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2376-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2377-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2378-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2379-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2380-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2381-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2382-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2383-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2384-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2385-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2386-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2387-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2388-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2389-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2390-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2391-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2392-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2393-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2394-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2395-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2396-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2397-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2398-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2399-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2400-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2401-th training, ErrorRate: 21.0% -> [4.008437309084002, 128.5877972350007, -569.7708650465189]
 2402-th training, ErrorRate: 20.0% -> [3.0084373090840018, 63.787797235000696, -581.970865046519]
 2403-th training, ErrorRate: 20.0% -> [3.0084373090840018, 63.787797235000696, -581.970865046519]
 2404-th training, ErrorRate: 20.0% -> [3.0084373090840018, 63.787797235000696, -581.970865046519]
 2405-th training, ErrorRate: 20.0% -> [3.0084373090840018, 63.787797235000696, -581.970865046519]
 2406-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2407-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2408-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2409-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2410-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2411-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2412-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2413-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2414-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2415-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2416-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2417-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2418-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2419-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2420-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2421-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2422-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2423-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2424-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2425-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2426-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2427-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2428-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2429-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2430-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2431-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2432-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2433-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2434-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2435-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2436-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2437-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2438-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2439-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2440-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2441-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2442-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2443-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2444-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2445-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2446-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2447-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2448-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2449-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2450-th training, ErrorRate: 50.0% -> [2.0084373090840018, -16.3122027649993, -590.470865046519]
 2451-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2452-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2453-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2454-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2455-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2456-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2457-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2458-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2459-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2460-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2461-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2462-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2463-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2464-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2465-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2466-th training, ErrorRate: 14.0% -> [3.0084373090840018, 91.1877972350007, -584.7708650465189]
 2467-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2468-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2469-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2470-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2471-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2472-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2473-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2474-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2475-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2476-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2477-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2478-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2479-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2480-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2481-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2482-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2483-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2484-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
 2485-th training, ErrorRate: 45.0% -> [4.008437309084002, 172.58779723500072, -571.0708650465189]
